Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 18 Oct 2024 5:26:51 PM

Recipient,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,1975-2017,Percentage,Sum total years,Percentage of total
Togo,15,47,1,9,9,28,19,4,2,,,16,0 ,0 ,,,9,8,,3,3,,9,,,,,,,,,,,,,1,,,,15,,,,198,0.0%,198,0.0%
Rwanda,3,,1,,,,,,4,6,3,2,,2,2,3,5,5,,,,1,3,9,21,15,,,,,,3,20,8,11,,,5,15,15,29,,8,195,0.0%,195,0.0%
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,6,6,,58,78,2,25,,,,,,,,,,,,,,,,,,0 ,176,0.0%,176,0.0%
Trinidad and Tobago,,,,,,22,6,,,,,,0 ,,,,,,,,,,,,,11,0 ,2,,,,,6,,,24,12,12,,,46,30,,171,0.0%,171,0.0%
Serbia,,,,,,,,,,,,,,,,,,4,2,2,8,1,14,7,1,1,27,,,,,,,,,16,,0 ,,,,23,65,169,0.0%,169,0.0%
Niger,,,,2,57,8,,6,25,3,,3,,,,,14,,,,,,3,,,,,,6,,,,,8,1,,,,12,3,10,0 ,3,164,0.0%,164,0.0%
Bahamas,,,,11,,,,,,,,33,,,,2,3,,,,,,,,,33,,,,,3,,,,1,,,,,30,16,20,12,163,0.0%,163,0.0%
Guinea-Bissau,10,13,,14,24,2,1,,,11,,35,,20,,20,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,161,0.0%,161,0.0%
United Nations**,,,,,,,,,,,,,,,,,3,,14,49,11,,,1,7,30,,,,2,1,2,1,0 ,,,,,5,23,3,9,,161,0.0%,161,0.0%
Paraguay,20,3,,9,1,18,5,3,0 ,3,35,4,,13,,6,3,1,,,,2,,,,,6,,,4,1,,,,,3,8,7,0 ,,,,,155,0.0%,155,0.0%
Djibouti,,,3,6,36,5,6,3,3,,1,8,1,,,,1,19,6,,2,,,,,1,,3,,4,7,,,,,,,6,5,15,1,11,,154,0.0%,154,0.0%
Madagascar,6,,,,64,43,1,,8,,6,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,148,0.0%,148,0.0%
Burkina Faso,14,8,9,,,0 ,9,1,16,9,2,3,,12,,,3,,7,,,,,,0 ,,,,,,12,4,4,,3,0 ,16,3,,,5,7,2,147,0.0%,147,0.0%
Albania,53,5,7,5,,,,,,,,,,,,,,,,,26,,,,,,,,2,,7,,5,,,,,15,7,7,7,,2,147,0.0%,147,0.0%
Nepal,15,6,,,,,1,,,3,3,,,,1,,,5,,,1,,,,,,12,10,10,36,7,,,1,,,3,,,5,15,8,1,140,0.0%,140,0.0%
Mujahedin (Afghanistan)*,,,,,,,,2,2,7,7,29,59,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,0.0%,138,0.0%
Mauritius,,,,,3,,,,,,1,,,,,10,,,8,,,29,1,,,,,,,10,,,,,,,,,,28,,28,19,135,0.0%,135,0.0%
Sierra Leone,,1,,2,,42,,,1,3,,,18,,,,,1,,7,14,,16,,13,,,,,,,9,,,,,2,0 ,1,,1,2,,133,0.0%,133,0.0%
Papua New Guinea,32,,3,2,,,2,4,,2,,8,12,6,6,4,10,10,,1,,1,7,,,,,,,,,,,,,,,,,3,,,0 ,113,0.0%,113,0.0%
Tajikistan,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,13,7,,34,,,,4,,,7,19,113,0.0%,113,0.0%
Seychelles,,,1,,19,6,,3,15,,,10,,1,,0 ,,,,,,,,,,,,,,,15,,,,,,8,,10,16,,8,,109,0.0%,109,0.0%
Malta,,,,8,,1,,,,,,,,,,,,13,,,0 ,1,6,0 ,,0 ,0 ,4,,4,18,,,,,,8,8,,12,10,6,8,106,0.0%,106,0.0%
Jamaica,4,1,3,4,,,0 ,,,,5,3,,,4,,,,,,,,,10,10,,,,,,10,10,13,2,,1,,,1,,2,22,,105,0.0%,105,0.0%
Panama,27,6,4,5,,3,4,13,8,0 ,7,,,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,0.0%,101,0.0%
Malawi,,2,6,7,8,14,14,,,1,6,10,1,2,3,10,,,,4,,,,,,,,,,,,,,3,,,,1,2,2,2,0 ,,98,0.0%,98,0.0%
LF (Lebanon)*,,,,,,,,,,9,,,12,53,20,,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,95,0.0%,95,0.0%
Hezbollah (Lebanon)*,,,,,,1,1,1,1,1,1,1,1,1,1,0 ,1,1,1,0 ,1,2,0 ,0 ,0 ,0 ,0 ,3,0 ,1,0 ,9,,,30,30,,,,,,,,88,0.0%,88,0.0%
Guyana,0 ,16,5,1,5,4,14,,3,7,23,,,,,,,,,,,,,,,,7,3,,,,,,0 ,,,,,,,,,,88,0.0%,88,0.0%
Benin,,,,26,6,,,10,3,1,3,,1,0 ,0 ,,,,,,,1,,,,,,7,,,,,3,,1,0 ,0 ,20,2,,,1,,85,0.0%,85,0.0%
Southern rebels (Yemen)*,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,80,0.0%,80,0.0%
African Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,9,,10,,,,,2,,2,,,79,0.0%,79,0.0%
Western Sahara,,,,,0 ,,25,,8,,,39,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,78,0.0%,78,0.0%
Iceland,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,77,0.0%,77,0.0%
Cabo Verde,,2,,,18,,,26,,,,,,,,,,7,,,,,,9,,1,,,,,,,,,2,,,10,,,,,,73,0.0%,73,0.0%
Libya HoR*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,37,13,6,72,0.0%,72,0.0%
Suriname,0 ,5,10,,,,0 ,2,,8,,5,2,,,,,,,,,,,,23,2,,,,,,,,,,,,0 ,7,,3,,,67,0.0%,67,0.0%
Amal (Lebanon)*,,,,,,,,,,,32,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,0.0%,63,0.0%
Burundi,,,,,,1,5,3,11,2,,,,,6,6,,,,,,,,,,,1,3,,,,,,,1,2,,5,,,1,3,,52,0.0%,52,0.0%
Lesotho,,,1,,5,3,,,1,,0 ,10,,,8,,4,,,,,,,5,,,6,,,1,,1,,,,,,,,,,,1,46,0.0%,46,0.0%
SLA (Lebanon)*,,,,,,,,,,5,7,10,17,1,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,45,0.0%,45,0.0%
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,3,2,,,,,,,,,4,8,12,44,0.0%,44,0.0%
Barbados,,,,,,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,,,,40,0.0%,40,0.0%
Liberia,,2,,1,,,,,,,,5,7,,12,3,,,,,,,,,1,9,,,,,,,,,,,,,,,,,,40,0.0%,40,0.0%
Palestine,,,,,,,,,,,,,,,,,,,,5,1,9,,,,,,,,,,,2,,15,5,,,,,,1,,37,0.0%,37,0.0%
Gambia,,,,,,,3,,,,,,,,12,,,,,,,,,,,,,,,5,,,,,16,,,,,,,,,36,0.0%,36,0.0%
Fiji,8,4,,,,,,,,,,,,,,1,,3,,6,12,,,,,,,,,,,,,,,,,,,,,,1,36,0.0%,36,0.0%
Central African Republic,,,,0 ,,0 ,1,3,6,1,6,,,2,,,,1,,,,,,,,,,,,,,9,,0 ,,,7,,,,,,,35,0.0%,35,0.0%
Maldives,,,,,,,,,,,,,,,,,,2,,,,,0 ,8,,,,,,,,15,,,,5,,,5,,,,,34,0.0%,34,0.0%
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14,,,,,,,32,0.0%,32,0.0%
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,5,4,32,0.0%,32,0.0%
PLO (Israel)*,,0 ,0 ,,0 ,4,12,14,,,,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0.0%,31,0.0%
Haiti,1,1,0 ,9,,,3,4,3,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0.0%,30,0.0%
Contras (Nicaragua)*,,,,,,,,,7,1,,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0.0%,28,0.0%
Lebanon Palestinian rebels*,,,,,,,6,7,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0.0%,28,0.0%
UNITA (Angola)*,,,,,,,,,,,,13,14,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0.0%,27,0.0%
Luxembourg,,,,,,,,1,,,,,,,,,,,,,,3,,,1,,,,1,,,,,,10,10,,1,,,,1,1,27,0.0%,27,0.0%
Ukraine Rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,24,0.0%,24,0.0%
Tonga,,,,,,,,,,,,0 ,,,6,6,6,,,,,0 ,,,,,,,,,,,,,,,,,,,5,,,24,0.0%,24,0.0%
Micronesia,,,,,,,,,,,,,,,2,14,,,,,,,6,,,,,,,,,,,,,,,,,,,,,23,0.0%,23,0.0%
FNLA (Angola)*,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.0%,23,0.0%
Moldova,,,,,,,,,,,,,,,,,,8,,3,11,,,,,,,,,,,,,,,,,,,,,,,22,0.0%,22,0.0%
Costa Rica,3,,,6,2,0 ,,,,0 ,1,1,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,18,0.0%,18,0.0%
Houthi rebels (Yemen)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,0.0%,15,0.0%
Regional Security System**,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,14,0.0%,14,0.0%
Khmer Rouge (Cambodia)*,2,,,,,,,,,,,,,2,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.0%,13,0.0%
Solomon Islands,,,,,,,,,,,,,,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.0%,12,0.0%
Comoros,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6,,,,1,,,,,,9,0.0%,9,0.0%
Marshall Islands,,,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.0%,8,0.0%
Palau,,,,,,,,,,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,8,0.0%,8,0.0%
eSwatini,,,,,6,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,8,0.0%,8,0.0%
GUNT (Chad)*,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.0%,8,0.0%
Kiribati,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,6,0.0%,6,0.0%
Samoa,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.0%,6,0.0%
Tuvalu,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,6,0.0%,6,0.0%
Vanuatu,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.0%,6,0.0%
Saint Kitts and Nevis,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.0%,6,0.0%
LTTE (Sri Lanka)*,,,,,,,,,,,,,,,,,,,,0 ,0 ,,,0 ,0 ,1,,3,,,0 ,,,,,,,,,,,,,5,0.0%,5,0.0%
Syria rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0 ,,,2,4,0.0%,4,0.0%
Saint Vincent,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0%,4,0.0%
Belize,,,,,,,,,,0 ,,,,,,,,,,,,0 ,,,,1,,,,,,,,,,,,,,,,2,,4,0.0%,4,0.0%
FMLN (El Salvador)*,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0%,3,0.0%
Hamas (Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,0 ,,,,3,0.0%,3,0.0%
United Wa State (Myanmar)*,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,3,0.0%,3,0.0%
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,,,1,1,,2,0.0%,2,0.0%
ELF (Ethiopia)*,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0%,2,0.0%
EPLF (Ethiopia)*,,,,,,0 ,1,1,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0%,2,0.0%
Libya GNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,0.0%,2,0.0%
SNA (Somalia)*,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,0.0%,2,0.0%
SPLA (Sudan)*,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0%,2,0.0%
Kurdistan Regional Government (Iraq)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,0.0%,2,0.0%
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0 ,,1,0.0%,1,0.0%
ZAPU (Zimbabwe)*,,,1,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,0.0%,1,0.0%
Grenada,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
OSCE**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,0.0%,1,0.0%
Provisional IRA (UK)*,,,,,,,,,,,,0 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
PKK (Turkiye)*,,,,,,,,,,,,,,,,,,,,0 ,,,0 ,,,,,,,,,,,,,,,,,,0 ,,,1,0.0%,1,0.0%
Darfur rebels (Sudan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,0.0%,1,0.0%
NTC (Libya)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,0.0%,1,0.0%
FAN (Chad)*,,,,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
NLA (Macedonia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
PIJ (Israel/Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,0 ,0.0%,0 ,0.0%
RPF (Rwanda)*,,,,,,,,,,,,,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
RUF (Sierra Leone)*,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
PRC (Israel/Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,0 ,0.0%,0 ,0.0%
ANC (South Africa)*,,,,,,,,,,,,,,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
LRA (Uganda)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
unknown rebel group*,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0 ,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
UIC (Somalia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
MTA (Myanmar)*,,,,,,,,,,,,,,,,,,,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
Total world import,37303,35778,40314,42667,38293,41925,45559,45720,43987,41799,38204,39078,39417,36695,35053,30341,28090,24231,25832,22999,22934,23779,28925,27790,24953,19416,18742,17813,19052,21254,21365,24416,26542,24196,24449,25937,30097,27913,27126,27023,28353,30784,31200,1307344,100%,1307344,

