Volume of exports of major arms by region broken down by suppliers 1975-2017
Figures are in millions of SIPRI trend-indicator values (TIVs).
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For a list of states covered by each region see <https://www.sipri.org/databases/regional-coverage>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 18 Oct 2024 5:25:23 PM

,,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,1975-2017,% of regional total
,Japan,,,,9,11,,,,17,17,26,92,,,15,30,,,,,,,,,,,,,,,,,,,,,,,,,,,2,219,0%
,Jordan,,,18,,,,,,,,,6,,,,,,,,29,,,6,,,,,,,,,,,,,,,,24,114,7,,,206,0%
,Kazakhstan,,,,,,,,,,,,,,,,,,,,,7,12,3,3,3,3,13,,,6,,,,,,,,,,,,,,51,0%
,Kuwait,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0%
,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,76,,,18,18,,,,,,,,4,5,5,180,0%
,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,48,0%
,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,113,,9,14,14,9,,,,,,,,270,0.1%
,Malaysia,,,,,,,,6,,,,,,,,,,,,,,,,,11,,,,,,,,,,0,,,,,,,,,18,0%
,Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5,0%
,Netherlands,6,115,45,10,110,259,113,21,99,154,54,202,384,460,354,219,158,162,218,319,246,100,140,157,125,84,37,7,69,67,66,5,424,162,161,29,19,15,30,40,29,14,509,5992,1.4%
,New Zealand,3,,,,,,1,2,,,,0,,,,,34,4,,3,,,,,1,1,,1,,1,0,,,,,,,,,,,,,50,0%
,North Korea,,,,,,,,,,,,,,,,,,,,,,7,7,31,11,,,,,,,,,,7,6,,,,,,,,68,0%
,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,11,16,15,,,,3,,1,,,26,,,,,,72,0%
,Oman,,,5,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,5,0%
,Pakistan,,,,,,,,,,,,,,,,80,,,,,,,,,,4,,8,8,9,6,,,1,,,,,,,,,,116,0%
,Poland,64,96,25,24,25,24,24,24,24,24,64,40,,,,33,22,17,,30,,,,0,6,16,49,26,56,39,15,218,132,73,67,19,,15,26,,,1,,1322,0.3%
,Portugal,22,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0%
,Romania,,,,,,,,,,,,,,24,,,,,,,,,2,,,,,,,,3,,,,1,1,0,,,,,,,31,0%
,Russia,,,,,,,,,,,,,,,,,,1783,1621,671,2691,2265,2396,947,2892,3216,4101,4778,4475,4956,4200,3701,3742,3458,3275,3626,5042,5732,5367,3586,4039,3630,3414,89604,20%
,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,5,5,45,,30,,,10,,10,9,,129,0%
,Seychelles,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Singapore,17,,,29,53,,10,,,88,,,70,25,44,44,3,3,,,,1,12,,,1,,4,,65,,,,,,3,4,75,,,,,,550,0.1%
,Slovakia,,,,,,,,,,,,,,,,,,,1,,45,50,55,8,,4,27,30,,,,3,,9,,,,5,,5,,5,,248,0.1%
,South Africa,,,,,,,,,,,,,3,,0,,,20,,,,,,,18,,25,12,,2,1,,,13,,,12,40,47,,,22,46,261,0.1%
,South Korea,,,,,105,105,126,63,,,28,28,,54,36,72,108,,60,7,27,24,25,32,,10,180,,96,5,2,54,174,6,94,,134,19,206,136,39,33,379,2464,0.6%
,South Yemen,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0%
,Soviet Union,1723,1902,2356,1569,2598,2927,3164,2717,3658,3350,3325,4263,4256,4912,5474,4359,2837,,,,,,,,,,,,,,,,,,,,,,,,,,,55390,13%
,Spain,,,,,,8,,,,15,15,15,15,15,15,,9,9,18,90,,13,471,,8,,,,,,13,13,13,,300,,,25,84,550,653,225,610,3199,0.7%
,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,8,0%
,Sweden,5,14,13,13,218,44,27,45,8,15,11,53,127,160,143,66,31,9,15,6,186,257,89,257,281,219,646,17,279,19,15,15,7,13,104,291,314,178,228,56,54,30,18,4592,1%
,Switzerland,119,164,164,161,199,186,197,143,223,223,170,99,155,177,65,110,161,127,75,75,55,50,38,49,75,65,76,71,65,65,65,65,117,233,109,74,65,65,110,148,219,91,128,5089,1.2%
,Taiwan,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0%
,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,79,,,,,,,,,,2,2,98,0%
,Turkiye,,,,,,,,,,,,,,,,,,,,,3,3,0,,3,,3,27,43,14,,,31,34,7,34,42,43,65,62,135,152,119,820,0.2%
,UAE,,,,,,,,,,,,,1,,,,,,,,26,,,,,,,,,,,,,,34,,,,,,,2,2,65,0%
,Ukraine,,,,,,,,,,,,,,,,,,25,30,51,105,171,508,462,532,112,84,94,139,129,114,190,98,110,148,102,237,906,313,287,217,238,230,5632,1.3%
,United Kingdom,342,404,524,427,388,496,818,1028,868,625,609,618,937,401,532,476,469,458,338,708,254,291,251,220,753,381,419,259,188,240,252,140,267,305,208,259,303,292,289,854,263,372,113,18640,4.2%
,United States,3284,3526,3483,3653,3626,3950,3765,3227,3962,4100,4578,4283,3840,5027,5690,4712,4645,4002,4442,3147,4601,4031,6111,5613,4718,2768,1424,1494,1567,2220,2467,2871,2877,2824,2932,5308,4442,3408,3278,3689,2871,2770,3373,158599,36%
,unknown supplier(s),,,,,,,,3,1,1,0,,,1,,,5,,,,,0,,1,0,,1,5,1,2,1,2,,17,,,1,,,,4,3,,50,0%
,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,126,,,,,209,209,209,,,,34,68,,1107,0.3%
,Viet Nam,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,25,0%
,Yugoslavia,10,,,,,,69,,,,,,,,,17,32,,,,,,,,,,,,,,,,,,,,,,,,,,,128,0%
Europe,Regional total,12079,10835,9888,11753,10481,11003,11496,11282,10574,10022,9451,9729,8024,10453,9998,7851,6843,6821,5395,5313,3758,4088,4317,5811,4293,3889,4067,2956,5131,4118,3420,5105,7106,4676,4885,4041,3406,2982,2935,2596,3140,3252,3552,282815,100%
,Argentina,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0%
,Australia,90,90,53,8,8,7,7,7,,,,,,,,,,,,,,,,,,,,,6,,,8,2,14,12,,,,,,,1,5,318,0.1%
,Austria,0,,,,,,,6,12,12,,,,6,12,25,20,20,10,17,,,,1,12,7,2,4,2,2,3,57,59,11,35,42,42,19,14,2,1,12,20,488,0.2%
,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0%
,Belarus,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,20,43,1,1,27,9,51,69,33,33,,,10,401,0.1%
,Belgium,,,,,3,,,,,7,,,,,,,,,,,,,66,,,,,,,,132,,,80,105,2,1,1,21,,1,,,419,0.1%
,Brazil,,,,,,,,39,39,64,21,19,22,64,46,46,46,46,19,,38,27,27,,,,,,,,,,,48,,,,,,,,,7,613,0.2%
,Bulgaria,,,,,,,,,,,,,,,5,6,42,5,,,,,1,,77,0,10,9,,1,18,5,2,,2,,2,,5,9,,,,199,0.1%
,Canada,36,14,13,25,50,49,29,25,13,6,5,4,2,14,12,20,37,27,28,24,31,41,12,2,51,9,74,14,11,48,48,40,131,18,8,11,16,6,3,3,34,4,3,1047,0.4%
,Chile,,,,,,,,,,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0%
,China,116,68,70,47,56,42,42,42,36,,,,,24,24,24,,,6,6,26,,,,2,,,,,,,,,,,,,,,,,3,14,647,0.2%
,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0%
,Czechia,,,,,,,,,,,,,,,,,,,4,4,63,38,,8,,6,70,,1,1,33,44,5,0,7,3,10,8,11,5,13,16,20,369,0.1%
,Czechoslovakia,658,700,754,645,640,585,662,597,706,919,960,1188,1213,1276,1063,624,54,,,,,,,,,,,,,,,,,,,,,,,,,,,13243,4.7%
,Denmark,24,,,,,,,,10,,,,,,,44,,,,3,16,,,,,18,,10,,,,5,,8,8,8,10,1,3,5,8,16,8,204,0.1%
,DR Congo,,,,,1,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,23,0%
,East Germany (GDR),,,,,,,,,,,,39,116,116,116,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,462,0.2%
,Egypt,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,10,0%
,Estonia,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,8,0%
,Fiji,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0%
,Finland,63,,,63,63,,,15,,,,,,1,,,12,8,8,6,19,3,1,17,20,11,30,33,29,21,38,53,55,92,60,63,64,70,65,75,18,18,22,1116,0.4%
,France,881,407,542,1086,567,810,598,495,643,117,332,369,159,627,641,290,178,555,414,377,214,137,227,177,198,110,217,156,123,97,83,136,997,125,141,181,274,174,290,242,234,139,113,14872,5.3%
,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,69,0%
,Germany,602,901,993,820,794,540,287,468,605,533,477,405,232,341,415,661,1416,979,763,1244,445,490,214,743,294,341,212,487,1103,586,523,1102,1456,864,889,1263,132,122,126,418,791,682,410,27170,9.6%
,Greece,,,,,,,,,,,,,,,,,,15,10,18,,19,31,9,3,2,2,,6,22,,,,,,,,,,,,,,136,0%
,Guyana,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0%
,Hungary,8,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0%
,Iceland,,,,,,0,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,5,0%
,Iran,32,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,33,0%
,Ireland,,,,2,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,10,,,33,0%
,Israel,,,,,,,,9,9,,,,,,,1,1,1,9,9,10,46,21,14,16,24,57,26,30,36,69,57,215,148,109,115,95,121,119,76,173,347,247,2210,0.8%
,Italy,88,24,65,90,166,166,139,123,112,94,8,9,66,73,71,12,79,100,114,94,19,35,2,236,45,34,70,51,164,81,306,183,325,229,130,176,176,193,204,83,130,122,95,4781,1.7%
,Japan,,,,,,,,,,,17,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,92,0%
,Jordan,,,,,,,,,48,,,1,,7,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,0%
,Kazakhstan,,,,,,,,,,,,,,,,,,,,,6,,,2,,,,,,,,6,,,,,,,,,,,,14,0%
,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,16,0%
,Lebanon,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Libya,,,,8,,1,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0%
,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,0%
,Malaysia,,,,,,,,,,,,,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0%
,Moldova,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,12,,,,,,,23,0%
,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,18,0%
,Netherlands,6,54,42,88,70,59,270,383,82,70,38,101,59,79,70,20,142,144,205,186,164,99,176,201,,3,142,217,262,123,249,742,416,209,227,219,47,148,59,99,77,72,117,6231,2.2%
,Norway,,,,87,140,130,188,54,,,7,29,,12,127,85,158,68,6,8,17,4,13,3,0,,19,62,79,51,6,14,5,8,40,17,63,30,90,73,92,22,21,1825,0.6%
,Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,0%
,Poland,252,330,336,291,163,201,190,155,109,59,51,219,222,232,20,79,40,40,,,2,48,8,,,1,,,10,8,,,8,,,,,,,1,2,1,7,3084,1.1%
,Portugal,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,46,,,,,18,,172,56,364,0.1%
,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,9,0%
,Romania,,,,,20,30,30,28,28,28,28,28,28,28,25,7,2,8,,5,11,,11,2,19,,,,,,,,,,,,,,216,,,,,582,0.2%
,Russia,,,,,,,,,,,,,,,,,,466,1071,293,429,636,200,216,599,324,333,149,84,150,245,164,83,96,54,252,598,345,401,652,303,249,350,8740,3.1%
,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,6,0%
,Singapore,,,,,,,,,,,,,,,13,,,,,,,,23,23,,,,,,,,,,,,20,9,,,,,,,88,0%
,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,46,,,16,,,,,,,,,,12,76,0%
,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,9,0%
,South Africa,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,5,5,14,5,17,17,20,22,34,11,25,23,4,2,,,207,0.1%
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,142,148,0.1%
,Soviet Union,4338,3726,3975,4959,4792,4704,4440,4432,3907,4063,4856,4518,3018,3167,2960,2403,622,,,,,,,,,,,,,,,,,,,,,,,,,,,64882,23%
,Spain,256,34,,,,2,,,,,,19,,8,11,6,55,27,,47,,,,27,18,28,,18,52,38,38,448,498,498,510,79,545,47,79,,,,,3385,1.2%
,Sweden,117,53,35,32,39,14,43,52,55,148,162,254,90,343,248,130,107,128,73,70,14,25,6,72,96,120,232,58,174,234,524,364,315,303,192,155,150,188,77,26,42,70,35,5664,2%
,Switzerland,115,125,15,,55,88,93,113,43,110,98,70,1,23,32,22,15,4,,,8,4,34,121,132,6,8,6,5,67,23,61,67,155,27,40,49,40,10,18,26,3,2,1933,0.7%
,Syria,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Turkiye,,,,,,,,,,,,,,,,,,,,,,,,3,,3,2,,,,,,6,26,28,4,7,23,5,21,27,19,4,179,0.1%
,UAE,,,,,,,,,,,,,,,,,,,,,2,6,37,,,,,,,,,,,,,,,,,,8,,,53,0%
,Ukraine,,,,,,,,,,,,,,,,,,,50,25,8,,11,24,22,1,200,10,,24,101,178,363,82,114,56,17,111,191,172,62,112,78,2010,0.7%
,United Kingdom,259,383,160,215,175,459,465,428,506,464,413,297,137,198,218,291,194,124,195,208,254,150,320,69,160,241,27,55,104,367,474,284,162,59,83,72,76,78,73,35,94,39,27,9092,3.2%
,United States,4140,3926,2836,3287,2672,3107,4010,3806,3606,3318,1978,2151,2648,3799,3737,2980,3622,4045,2407,2617,1963,2076,2847,3835,2516,2597,2352,1510,2865,2099,480,1098,1904,1581,2011,1204,951,1163,817,526,988,1118,1717,104909,37%
,unknown supplier(s),,,,,,,,,,,,,,,,,2,,0,53,,10,1,1,1,4,0,3,,,,,,,,,,,,,4,,,79,0%
,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,4,0%
,Yugoslavia,,,,,,,,2,,,,8,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0%
,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,4,0%
International organizations,Regional total,0,0,0,0,0,0,0,1250,1250,1250,802,0,0,18,36,0,3,0,14,49,11,0,0,1,39,30,18,0,0,2,1,118,1,0,420,0,0,22,5,24,3,21,25,5412,100%
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,0%
,Belgium,,,,,,,,,,,,,,18,36,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,55,1%
,Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,12,12,25,0.5%
,Finland,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,22,,,,,,25,0.5%
,Germany,,,,,,,,,,,,,,,,,,,,49,,,,,18,,18,,,,,,,,,,,,,,,,,84,1.6%
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,9,0.2%
,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,0%
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,58,,,,,,,,,,,,80,1.5%
,Slovakia,,,,,,,,,,,,,,,,,,,8,1,3,,,,,,,,,,,,,,,,,,,,,,,12,0.2%
,South Africa,,,,,,,,,,,,,,,,,,,,,8,,,1,7,7,,,,2,1,,,,,,,,5,16,3,,,49,0.9%
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,0.2%
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,7,0.1%
,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,58,1.1%
,United Kingdom,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,1%
,United States,,,,,,,,1250,1250,1250,750,,,,,,,,6,,,,,,14,,,,,,,,,,420,,,,,,,,,4940,91%
Middle East,Regional total,11675,10495,12275,11331,9342,10896,11462,13704,12813,12321,10876,12262,12701,7805,6199,7335,6685,7260,9160,6992,6575,7247,7449,9092,6205,4139,2610,4059,2760,4750,6180,5769,4504,3826,3876,4678,5725,5838,7181,8301,9964,10225,10872,345414,100%
,Aruba,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,18,0%
,Australia,,,,,,,,,,,,,,,,,,,30,,,,0,4,,,,,,0,49,1,,,,,,,,,,40,,124,0%
,Austria,,,,,,,23,40,40,40,240,25,,,,5,,,,,,,0,11,10,,,79,,,,2,2,3,3,17,1,1,13,11,4,4,,573,0.2%
,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,55,15,16,24,,,,,172,,137,45,28,,,14,28,,532,0.2%
,Belgium,,,,,,,,40,36,19,,19,,,,,,,,,,,,22,13,11,31,14,15,47,28,7,10,112,98,3,110,21,21,10,2,3,,692,0.2%
,Brazil,,,,,50,100,36,52,55,89,103,79,63,92,8,61,63,33,,,,,,,,,,,,,,,,,,,,,,,,11,15,908,0.3%
,Bulgaria,,,,,,,,,,,,,,,,,,53,,44,,,,,,,,,18,,,,,,,,,,,4,64,83,17,283,0.1%
,Canada,39,47,22,55,16,2,15,153,25,16,5,85,82,18,4,7,7,71,71,59,58,57,28,26,24,24,7,5,7,20,0,9,14,16,9,12,58,59,53,69,137,42,19,1552,0.4%
,China,88,,,,200,270,1,991,1116,1552,1040,1439,1608,635,113,115,124,131,346,307,226,313,48,71,71,113,116,183,222,203,117,84,119,155,211,148,84,66,26,32,103,130,137,13052,3.8%
,Czechia,,,,,,,,,,,,,,,,,,,163,150,7,1,1,,42,58,,22,,,,,,,,2,,,1,4,86,78,16,630,0.2%
,Czechoslovakia,77,112,34,30,30,164,130,32,76,126,68,4,,,,,281,202,,,,,,,,,,,,,,,,,,,,,,,,,,1366,0.4%
,Denmark,,,,,,,29,29,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,5,5,,181,0.1%
,East Germany (GDR),,,,,,,25,3,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0%
,Egypt,3,,,,,16,33,58,58,,3,14,74,78,77,16,,,,5,,,,,,,,,,,,,,,,,,,,,,,,435,0.1%
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,0%
,Ethiopia,,,,,,,,,,,35,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,0%
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,6,6,,68,,2,,3,,4,5,9,8,36,,150,0%
,France,501,673,1086,889,482,1221,1543,1664,1896,1867,2346,1251,839,710,891,874,341,169,106,102,296,458,543,718,679,492,334,760,644,1505,795,823,297,50,148,180,306,338,833,339,1235,1178,1088,33489,9.7%
,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,13,0%
,Germany,194,186,243,220,169,333,581,381,279,571,176,194,391,815,382,449,343,108,256,367,575,533,158,622,779,603,50,78,234,38,661,406,460,328,209,212,190,148,237,570,480,565,535,15309,4.4%
,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,23,,,,,,,,,,,,36,0%
,Hungary,,,,,,4,30,,,,,,,,,,,,,,,,,,,,,,,,82,,9,,,,,,,,,,,125,0%
,Indonesia,,,,,,,,,,,,,,,,,,,18,18,27,,,,,,,,,,,,,,,,,,,,,,,63,0%
,Iran,45,,,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,0,0,0,0,0,3,0,1,0,60,,60,65,65,103,30,15,52,15,5,15,546,0.2%
,Iraq,,,,,,26,,,,,,,,169,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,0.1%
,Israel,,,,,,,,,,14,28,31,29,1,,,,,,,,6,,,,,46,89,48,10,3,6,99,97,320,77,32,13,,25,71,,,1045,0.3%
,Italy,241,204,152,282,196,95,316,418,108,216,89,4,87,85,45,20,26,14,9,15,38,58,52,10,5,10,24,98,15,6,35,36,86,85,101,58,61,227,398,174,325,317,319,5157,1.5%
,Japan,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,0%
,Jordan,50,,,,,,,,28,,2,,,,,,,,,,,,,,,,,,,43,22,,13,,28,34,,,,,8,1,,227,0.1%
,Kuwait,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0%
,Libya,22,,,,395,94,106,137,,,11,5,5,,,20,,,,,,,,,,,,,,,,18,,,18,18,,,,,,,,848,0.2%
,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,30,0%
,Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,10,0%
,Moldova,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,36,0%
,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,109,,,,,,,,,,,180,0.1%
,Netherlands,35,28,46,48,6,76,120,93,64,45,46,6,20,174,81,147,66,27,18,24,29,262,275,258,36,22,,,,,27,59,67,39,82,13,101,147,140,204,129,112,287,3456,1%
,New Zealand,,,,,,,,,,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,18,0%
,North Korea,,,,,,,6,107,210,188,155,73,198,177,62,5,84,97,103,20,32,30,30,28,25,40,53,150,129,42,15,15,15,15,15,,,,,1,,,,2116,0.6%
,Norway,6,6,6,,,,58,,35,,35,,32,,,,3,5,15,5,,,,,,,4,4,,,,,,,1,,8,,,,1,75,75,375,0.1%
,Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,0%
,Pakistan,,,,,,15,30,30,,,,,,,1,2,3,,,2,,,,,,,,1,,,18,4,,,,,,,,,,,2,109,0%
,Poland,,,40,20,60,,150,50,,8,16,,,,,,,,,85,174,,,,,,19,20,,,3,63,23,,,,,,,3,,3,,737,0.2%
,Qatar,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,40,0%
,Romania,,,,,,,,63,63,99,,,,,,,,,16,24,,,,,,,,,,,,8,32,,,,,,,,,,,303,0.1%
,Russia,,,,,,,,,,,,,,,,,,345,732,308,435,511,462,408,398,450,336,706,193,304,424,527,389,179,382,1382,1194,749,706,450,547,955,1467,14937,4.3%
,Saudi Arabia,,0,13,,,,2,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,1,62,,,,3,,,87,0%
,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,20,61,11,97,0%
,Singapore,,,,,18,,5,,25,,,,11,,30,,,,,9,,,,,,,,,,,,,,,4,4,4,4,4,8,80,77,,281,0.1%
,Slovakia,,,,,,,,,,,,,,,,,,,169,23,1,,,,,,,,,,,,,,,,,,1,0,3,4,,202,0.1%
,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,0%
,South Africa,,,,,,,,,,,25,25,25,25,,,21,54,54,9,,28,,,,,,,33,47,,55,12,1,7,27,13,18,17,20,29,33,35,613,0.2%
,South Korea,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,69,107,104,104,104,130,161,190,183,144,6,6,326,173,1854,0.5%
,Soviet Union,2494,1464,2519,3261,4180,5380,3499,4086,4167,4524,3985,4023,3944,2591,2169,1932,894,,,,,,,,,,,,,,,,,,,,,,,,,,,55112,16%
,Spain,8,11,,,,,,15,,217,51,36,68,32,3,,,27,54,54,81,81,90,81,,,,,13,13,,8,,,,,38,,233,315,180,202,185,2094,0.6%
,Sudan,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0%
,Sweden,,,,,,35,20,16,29,39,16,7,7,7,9,20,7,,,,5,11,8,8,,,,,,,,9,9,1,1,43,50,,73,218,66,11,10,729,0.2%
,Switzerland,226,245,103,3,6,18,6,26,45,171,68,147,132,116,139,145,92,103,108,80,46,88,29,23,23,39,53,,,,,,,,10,40,120,45,,115,195,105,45,2952,0.9%
,Syria,,,0,,,,,178,46,,32,31,,15,,,,40,40,,,0,0,,,,,,,,,3,,,30,30,,,,,,,,445,0.1%
,Taiwan,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0%
,Turkiye,,,,,,,,,,,,,,,,,,,,,,,,,41,16,,,,15,25,67,40,37,26,32,40,73,68,66,62,55,28,692,0.2%
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,15,3,,,39,,,33,35,117,54,65,375,0.1%
,Ukraine,,,,,,,,,,,,,,,,,,,2,,21,,,52,27,20,132,130,63,23,48,55,75,35,41,39,59,125,56,,,,8,1010,0.3%
,United Kingdom,1192,398,465,555,365,27,330,495,720,732,558,662,621,287,1079,690,399,35,415,197,394,610,1328,890,213,420,290,279,139,122,57,74,19,43,477,572,393,115,1002,767,759,825,938,20949,6.1%
